2026-03-02 18:35:16,467 | INFO     | soap_generator | process_entity_by_route_async:1605 |   📦 Batch intent (default): using search_term 'ear swab'
2026-03-02 18:35:16,467 | INFO     | soap_generator | process_entity_by_route_async:1659 |   🔍 Starting LOCAL-ONLY search (local inventory + local services)
2026-03-02 18:35:16,467 | INFO     | soap_generator | process_entity_by_route_async:1660 |      Search term: 'ear swab' (ASR-corrected: True)
2026-03-02 18:35:16,485 | INFO     | soap_generator | process_single_entity_async:829 |    📍 Route Classification: dual_sync
2026-03-02 18:35:16,485 | INFO     | soap_generator | process_single_entity_async:830 |    📝 Normalized name: 'bus inside the left ear' (from span_text: 'bus inside the left ear')
2026-03-02 18:35:16,486 | INFO     | soap_generator | process_entity_by_route_async:1605 |   📦 Batch intent (default): using search_term 'foreign body in ear'
2026-03-02 18:35:16,486 | INFO     | soap_generator | process_entity_by_route_async:1659 |   🔍 Starting LOCAL-ONLY search (services only (Diagnosis/ReasonForVisit))
2026-03-02 18:35:16,486 | INFO     | soap_generator | process_entity_by_route_async:1660 |      Search term: 'foreign body in ear' (ASR-corrected: True)
2026-03-02 18:35:16,489 | DEBUG    | soap_generator | _resolve_embedding_client:329 | ✅ Created OpenAI embedding client (key starts with: sk-proj-xK...)
2026-03-02 18:35:16,493 | DEBUG    | soap_generator | _resolve_embedding_client:329 | ✅ Created OpenAI embedding client (key starts with: sk-proj-xK...)
2026-03-02 18:35:16,501 | DEBUG    | soap_generator | _resolve_embedding_client:329 | ✅ Created OpenAI embedding client (key starts with: sk-proj-xK...)
2026-03-02 18:35:16,632 | INFO     | soap_generator | process_single_entity_async:829 |    📍 Route Classification: dual_sync
2026-03-02 18:35:16,632 | INFO     | soap_generator | process_single_entity_async:830 |    📝 Normalized name: 'yeast growth' (from span_text: 'yeast growth')
2026-03-02 18:35:16,633 | INFO     | soap_generator | process_entity_by_route_async:1605 |   📦 Batch intent (default): using search_term 'yeast infection'
2026-03-02 18:35:16,633 | INFO     | soap_generator | process_entity_by_route_async:1659 |   🔍 Starting LOCAL-ONLY search (services only (Diagnosis/ReasonForVisit))
2026-03-02 18:35:16,633 | INFO     | soap_generator | process_entity_by_route_async:1660 |      Search term: 'yeast infection' (ASR-corrected: True)
2026-03-02 18:35:16,647 | DEBUG    | soap_generator | _resolve_embedding_client:329 | ✅ Created OpenAI embedding client (key starts with: sk-proj-xK...)
2026-03-02 18:35:16,750 | DEBUG    | soap_generator | search_local_inventory_topk:633 |   📊 Vector embedding used for 'ear swab' (cached or precomputed)
2026-03-02 18:35:16,964 | DEBUG    | soap_generator | search_local_inventory_topk:633 |   📊 Vector embedding used for 'Easotic ear drops' (cached or precomputed)
2026-03-02 18:35:16,967 | DEBUG    | soap_generator | search_local_services_topk:1235 |   📊 Vector embedding used for service 'Cefpodoxime Syrup' (cached or precomputed)
2026-03-02 18:35:16,968 | DEBUG    | soap_generator | search_local_inventory_topk:633 |   📊 Vector embedding used for 'Cefpodoxime Syrup' (cached or precomputed)
2026-03-02 18:35:17,186 | WARNING  | soap_generator | ensure_soap_service_master_metaphone_columns:1102 | Could not ensure soap.service_master metaphone columns: column "name_metaphone" of relation "service_master" already exists

2026-03-02 18:35:17,188 | WARNING  | soap_generator | search_local_services_topk:1535 |   ⚠️  Local service search failed: column "name_metaphone_first" does not exist
LINE 22: ...                        0.8 * (1.0 - (levenshtein(name_metap...
                                                              ^

2026-03-02 18:35:17,360 | DEBUG    | soap_generator | search_local_services_topk:1235 |   📊 Vector embedding used for service 'foreign body in ear' (cached or precomputed)
2026-03-02 18:35:17,383 | DEBUG    | soap_generator | search_local_services_topk:1235 |   📊 Vector embedding used for service 'ear swab' (cached or precomputed)
2026-03-02 18:35:17,473 | DEBUG    | soap_generator | search_local_services_topk:1235 |   📊 Vector embedding used for service 'yeast infection' (cached or precomputed)
2026-03-02 18:35:17,792 | INFO     | soap_generator | process_single_entity_async:829 |    📍 Route Classification: dual_sync
2026-03-02 18:35:17,792 | INFO     | soap_generator | process_single_entity_async:830 |    📝 Normalized name: 'ear cleaning' (from span_text: 'ear cleaning')
2026-03-02 18:35:17,792 | INFO     | soap_generator | process_entity_by_route_async:1605 |   📦 Batch intent (default): using search_term 'ear cleaning'
2026-03-02 18:35:17,792 | INFO     | soap_generator | process_entity_by_route_async:1659 |   🔍 Starting LOCAL-ONLY search (local inventory + local services)
2026-03-02 18:35:17,792 | INFO     | soap_generator | process_entity_by_route_async:1660 |      Search term: 'ear cleaning' (ASR-corrected: False)
2026-03-02 18:35:17,802 | DEBUG    | soap_generator | _resolve_embedding_client:329 | ✅ Created OpenAI embedding client (key starts with: sk-proj-xK...)
2026-03-02 18:35:17,804 | DEBUG    | soap_generator | _resolve_embedding_client:329 | ✅ Created OpenAI embedding client (key starts with: sk-proj-xK...)
2026-03-02 18:35:17,812 | WARNING  | soap_generator | ensure_soap_service_master_metaphone_columns:1102 | Could not ensure soap.service_master metaphone columns: column "name_metaphone" of relation "service_master" already exists

2026-03-02 18:35:17,812 | WARNING  | soap_generator | ensure_soap_service_master_metaphone_columns:1102 | Could not ensure soap.service_master metaphone columns: column "name_metaphone" of relation "service_master" already exists

2026-03-02 18:35:17,812 | WARNING  | soap_generator | ensure_soap_service_master_metaphone_columns:1102 | Could not ensure soap.service_master metaphone columns: column "name_metaphone" of relation "service_master" already exists

2026-03-02 18:35:17,813 | WARNING  | soap_generator | search_local_services_topk:1535 |   ⚠️  Local service search failed: column "name_metaphone_first" does not exist
LINE 22: ...                        0.8 * (1.0 - (levenshtein(name_metap...
                                                              ^

2026-03-02 18:35:17,813 | WARNING  | soap_generator | search_local_services_topk:1535 |   ⚠️  Local service search failed: column "name_metaphone_first" does not exist
LINE 22: ...                        0.8 * (1.0 - (levenshtein(name_metap...
                                                              ^

2026-03-02 18:35:17,813 | DEBUG    | soap_generator | _ground_one:4153 |    ✅ Grounded entity 'bus inside the left ear' → added to manifest (total: 3)
2026-03-02 18:35:17,813 | WARNING  | soap_generator | search_local_services_topk:1535 |   ⚠️  Local service search failed: column "name_metaphone_first" does not exist
LINE 22: ...                        0.8 * (1.0 - (levenshtein(name_metap...
                                                              ^

2026-03-02 18:35:17,814 | DEBUG    | soap_generator | _ground_one:4153 |    ✅ Grounded entity 'yeast growth' → added to manifest (total: 4)
2026-03-02 18:35:18,040 | DEBUG    | soap_generator | search_local_inventory_topk:633 |   📊 Vector embedding used for 'ear cleaning' (cached or precomputed)
2026-03-02 18:35:18,055 | DEBUG    | soap_generator | search_local_services_topk:1235 |   📊 Vector embedding used for service 'ear cleaning' (cached or precomputed)
2026-03-02 18:35:18,310 | WARNING  | soap_generator | ensure_soap_service_master_metaphone_columns:1102 | Could not ensure soap.service_master metaphone columns: column "name_metaphone" of relation "service_master" already exists

2026-03-02 18:35:18,310 | WARNING  | soap_generator | search_local_services_topk:1535 |   ⚠️  Local service search failed: column "name_metaphone_first" does not exist
LINE 22: ...                        0.8 * (1.0 - (levenshtein(name_metap...
                                                              ^

2026-03-02 18:35:19,730 | DEBUG    | soap_generator | ensure_btree_index:501 | ⚠️  Skipping B-tree index idx_svc_name_metaphone: soap.service_master.name_metaphone does not exist
